,Time,class,Count,From,To
414,4:00pm - 5:00pm,smallTrucks,1,South,East
415,4:00pm - 5:00pm,largeTrucks,,South,East
416,4:00pm - 5:00pm,bicycle_tricycle,,South,East
417,4:00pm - 5:00pm,jeepney,,South,East
418,4:00pm - 5:00pm,motorela,8,South,East
419,4:00pm - 5:00pm,others,1,South,East
420,5:00pm - 6:00pm,cars_SUV,10,South,East
421,5:00pm - 6:00pm,motorcycles_scooters,10,South,East
422,5:00pm - 6:00pm,taxi,2,South,East
423,5:00pm - 6:00pm,buses,,South,East
424,5:00pm - 6:00pm,smallTrucks,,South,East
425,5:00pm - 6:00pm,largeTrucks,,South,East
426,5:00pm - 6:00pm,bicycle_tricycle,,South,East
427,5:00pm - 6:00pm,jeepney,,South,East
428,5:00pm - 6:00pm,motorela,9,South,East
429,5:00pm - 6:00pm,others,2,South,East
430,6:00pm - 7:00pm,cars_SUV,10,South,East
431,6:00pm - 7:00pm,motorcycles_scooters,12,South,East
432,6:00pm - 7:00pm,taxi,,South,East
433,6:00pm - 7:00pm,buses,,South,East
434,6:00pm - 7:00pm,smallTrucks,1,South,East
435,6:00pm - 7:00pm,largeTrucks,,South,East
436,6:00pm - 7:00pm,bicycle_tricycle,,South,East
437,6:00pm - 7:00pm,jeepney,,South,East
438,6:00pm - 7:00pm,motorela,9,South,East
439,6:00pm - 7:00pm,others,4,South,East
440,7:00pm - 8:00pm,cars_SUV,7,South,East
441,7:00pm - 8:00pm,motorcycles_scooters,4,South,East
442,7:00pm - 8:00pm,taxi,,South,East
443,7:00pm - 8:00pm,buses,,South,East
444,7:00pm - 8:00pm,smallTrucks,,South,East
445,7:00pm - 8:00pm,largeTrucks,,South,East
446,7:00pm - 8:00pm,bicycle_tricycle,,South,East
447,7:00pm - 8:00pm,jeepney,,South,East
448,7:00pm - 8:00pm,motorela,11,South,East
449,7:00pm - 8:00pm,others,2,South,East
450,5:00am - 6:00am,cars_SUV,35,South,North
